ativo,inicio_janela,fim_janela,c1_open,c1_high,c1_low,c1_close,c1_corpo,c1_amplitude,c1_pavio_sup,c1_pavio_inf,c1_variacao,c1_direcao,c2_open,c2_high,c2_low,c2_close,c2_corpo,c2_amplitude,c2_pavio_sup,c2_pavio_inf,c2_variacao,c2_direcao,c3_open,c3_high,c3_low,c3_close,c3_corpo,c3_amplitude,c3_pavio_sup,c3_pavio_inf,c3_variacao,c3_direcao,c4_open,c4_high,c4_low,c4_close,c4_corpo,c4_amplitude,c4_pavio_sup,c4_pavio_inf,c4_variacao,c4_direcao,c5_open,c5_high,c5_low,c5_close,c5_corpo,c5_amplitude,c5_pavio_sup,c5_pavio_inf,c5_variacao,c5_direcao,c6_open,c6_high,c6_low,c6_close,c6_corpo,c6_amplitude,c6_pavio_sup,c6_pavio_inf,c6_variacao,c6_direcao,c7_open,c7_high,c7_low,c7_close,c7_corpo,c7_amplitude,c7_pavio_sup,c7_pavio_inf,c7_variacao,c7_direcao,c8_open,c8_high,c8_low,c8_close,c8_corpo,c8_amplitude,c8_pavio_sup,c8_pavio_inf,c8_variacao,c8_direcao,c9_open,c9_high,c9_low,c9_close,c9_corpo,c9_amplitude,c9_pavio_sup,c9_pavio_inf,c9_variacao,c9_direcao,c10_open,c10_high,c10_low,c10_close,c10_corpo,c10_amplitude,c10_pavio_sup,c10_pavio_inf,c10_variacao,c10_direcao,rsi14,sma5,sma10,sma20,ema5,ema10,ema20,momentum3,momentum5,momentum10,atr14,atr14_relativo,volatilidade5,volatilidade10,bollinger_media10,bollinger_superior10,bollinger_inferior10,bollinger_largura10,bollinger_posicao10,suporte10,resistencia10,distancia_suporte10,distancia_resistencia10,distancia_sma5,distancia_sma10,distancia_sma20,slope_sma5,slope_sma10,altas_10,baixas_10,empates_10,tendencia_10,corpo_medio_rel_10,pavio_sup_medio_rel_10,pavio_inf_medio_rel_10,amplitude_media_rel_10,sequencia_atual,direcao_sequencia,corpo_atual_rel,pavio_sup_atual_rel,pavio_inf_atual_rel,posicao_fechamento_atual,preco_base,preco_15s_depois,resultado_15s,timestamp_resultado
"USDARS_otc","2026-09-10 16:21:45","2026-09-10 16:24:00",1582.830000000000,1582.940000000000,1582.800000000000,1582.830000000000,0.000000000000,0.140000000000,0.110000000000,0.030000000000,0.000000000000,EMPATE,1582.830000000000,1583.070000000000,1582.830000000000,1583.070000000000,0.240000000000,0.240000000000,0.000000000000,0.000000000000,0.000151627149,ALTA,1583.070000000000,1583.110000000000,1582.880000000000,1583.110000000000,0.040000000000,0.230000000000,0.000000000000,0.190000000000,0.000025267360,ALTA,1583.110000000000,1583.320000000000,1583.080000000000,1583.270000000000,0.160000000000,0.240000000000,0.050000000000,0.030000000000,0.000101066887,ALTA,1583.250000000000,1583.360000000000,1583.190000000000,1583.190000000000,0.060000000000,0.170000000000,0.110000000000,0.000000000000,-0.000037896731,BAIXA,1583.190000000000,1583.190000000000,1583.010000000000,1583.120000000000,0.070000000000,0.180000000000,0.000000000000,0.110000000000,-0.000044214529,BAIXA,1583.120000000000,1583.130000000000,1582.910000000000,1582.910000000000,0.210000000000,0.220000000000,0.010000000000,0.000000000000,-0.000132649452,BAIXA,1582.890000000000,1582.910000000000,1582.720000000000,1582.720000000000,0.170000000000,0.190000000000,0.020000000000,0.000000000000,-0.000107398493,BAIXA,1582.720000000000,1582.850000000000,1582.650000000000,1582.850000000000,0.130000000000,0.200000000000,0.000000000000,0.070000000000,0.000082137080,ALTA,1582.850000000000,1583.030000000000,1582.790000000000,1583.000000000000,0.150000000000,0.240000000000,0.030000000000,0.060000000000,0.000094765771,ALTA,38.048780487804,1582.920000000000,1583.007000000000,1583.158500000000,1582.944138487163,1583.007153279398,1583.112063963040,0.000056857307,-0.000120010864,0.000107402564,0.230714285714,0.000145744969,0.000096753172,0.000092156435,1583.007000000000,1583.340352666106,1582.673647333894,0.000421163856,0.489500608947,1582.650000000000,1583.360000000000,0.000221099179,0.000227416298,0.000050536955,-0.000004421984,-0.000100126342,-0.000126342388,-0.000037902716,5,4,1,0.000107402564,0.570669207216,0.191682414593,0.237648378192,0.000129502222,2,1,0.625000000000,0.125000000000,0.250000000000,0.875000000000,1583.000000000000,1582.920000000000,BAIXO,1789068255000
"USDARS_otc","2026-09-10 16:22:00","2026-09-10 16:24:15",1582.830000000000,1583.070000000000,1582.830000000000,1583.070000000000,0.240000000000,0.240000000000,0.000000000000,0.000000000000,0.000151627149,ALTA,1583.070000000000,1583.110000000000,1582.880000000000,1583.110000000000,0.040000000000,0.230000000000,0.000000000000,0.190000000000,0.000025267360,ALTA,1583.110000000000,1583.320000000000,1583.080000000000,1583.270000000000,0.160000000000,0.240000000000,0.050000000000,0.030000000000,0.000101066887,ALTA,1583.250000000000,1583.360000000000,1583.190000000000,1583.190000000000,0.060000000000,0.170000000000,0.110000000000,0.000000000000,-0.000037896731,BAIXA,1583.190000000000,1583.190000000000,1583.010000000000,1583.120000000000,0.070000000000,0.180000000000,0.000000000000,0.110000000000,-0.000044214529,BAIXA,1583.120000000000,1583.130000000000,1582.910000000000,1582.910000000000,0.210000000000,0.220000000000,0.010000000000,0.000000000000,-0.000132649452,BAIXA,1582.890000000000,1582.910000000000,1582.720000000000,1582.720000000000,0.170000000000,0.190000000000,0.020000000000,0.000000000000,-0.000107398493,BAIXA,1582.720000000000,1582.850000000000,1582.650000000000,1582.850000000000,0.130000000000,0.200000000000,0.000000000000,0.070000000000,0.000082137080,ALTA,1582.850000000000,1583.030000000000,1582.790000000000,1583.000000000000,0.150000000000,0.240000000000,0.030000000000,0.060000000000,0.000094765771,ALTA,1583.000000000000,1583.110000000000,1582.920000000000,1582.920000000000,0.080000000000,0.190000000000,0.110000000000,0.000000000000,-0.000050536955,BAIXA,34.782608695655,1582.880000000000,1583.016000000000,1583.133500000000,1582.936137434074,1582.991307228598,1583.093772157036,0.000126364739,-0.000126332811,0.000056860181,0.227857142857,0.000143947352,0.000097049974,0.000093974787,1583.016000000000,1583.334270325353,1582.697729674648,0.000402106265,0.349184808710,1582.650000000000,1583.360000000000,0.000170570844,0.000277967301,0.000025269755,-0.000060647411,-0.000134877315,-0.000102342506,0.000013898365,5,5,0,0.000056860181,0.612774470373,0.171005722863,0.216219806763,0.000132659832,1,-1,0.421052631579,0.578947368421,0.000000000000,0.000000000000,1582.920000000000,1582.970000000000,CIMA,1789068270000
"USDARS_otc","2026-09-10 16:22:15","2026-09-10 16:24:30",1583.070000000000,1583.110000000000,1582.880000000000,1583.110000000000,0.040000000000,0.230000000000,0.000000000000,0.190000000000,0.000025267360,ALTA,1583.110000000000,1583.320000000000,1583.080000000000,1583.270000000000,0.160000000000,0.240000000000,0.050000000000,0.030000000000,0.000101066887,ALTA,1583.250000000000,1583.360000000000,1583.190000000000,1583.190000000000,0.060000000000,0.170000000000,0.110000000000,0.000000000000,-0.000037896731,BAIXA,1583.190000000000,1583.190000000000,1583.010000000000,1583.120000000000,0.070000000000,0.180000000000,0.000000000000,0.110000000000,-0.000044214529,BAIXA,1583.120000000000,1583.130000000000,1582.910000000000,1582.910000000000,0.210000000000,0.220000000000,0.010000000000,0.000000000000,-0.000132649452,BAIXA,1582.890000000000,1582.910000000000,1582.720000000000,1582.720000000000,0.170000000000,0.190000000000,0.020000000000,0.000000000000,-0.000107398493,BAIXA,1582.720000000000,1582.850000000000,1582.650000000000,1582.850000000000,0.130000000000,0.200000000000,0.000000000000,0.070000000000,0.000082137080,ALTA,1582.850000000000,1583.030000000000,1582.790000000000,1583.000000000000,0.150000000000,0.240000000000,0.030000000000,0.060000000000,0.000094765771,ALTA,1583.000000000000,1583.110000000000,1582.920000000000,1582.920000000000,0.080000000000,0.190000000000,0.110000000000,0.000000000000,-0.000050536955,BAIXA,1582.920000000000,1583.050000000000,1582.890000000000,1582.970000000000,0.050000000000,0.160000000000,0.080000000000,0.030000000000,0.000031587193,ALTA,38.118811881188,1582.892000000000,1583.006000000000,1583.103500000000,1582.947307671872,1582.987433187035,1583.081984332557,0.000075812616,0.000037904871,-0.000063168401,0.220714285714,0.000139430492,0.000081729907,0.000081390865,1583.006000000000,1583.323137194287,1582.688862805713,0.000400677185,0.443242229785,1582.650000000000,1583.360000000000,0.000202151652,0.000246372325,0.000049274465,-0.000022742061,-0.000084335142,-0.000041693778,0.000010107583,5,5,0,-0.000063168401,0.544024470373,0.221005722863,0.234969806763,0.000127605019,1,1,0.312500000000,0.500000000000,0.187500000000,0.500000000000,1582.970000000000,1583.010000000000,CIMA,1789068285000
"USDARS_otc","2026-09-10 16:22:30","2026-09-10 16:24:45",1583.110000000000,1583.320000000000,1583.080000000000,1583.270000000000,0.160000000000,0.240000000000,0.050000000000,0.030000000000,0.000101066887,ALTA,1583.250000000000,1583.360000000000,1583.190000000000,1583.190000000000,0.060000000000,0.170000000000,0.110000000000,0.000000000000,-0.000037896731,BAIXA,1583.190000000000,1583.190000000000,1583.010000000000,1583.120000000000,0.070000000000,0.180000000000,0.000000000000,0.110000000000,-0.000044214529,BAIXA,1583.120000000000,1583.130000000000,1582.910000000000,1582.910000000000,0.210000000000,0.220000000000,0.010000000000,0.000000000000,-0.000132649452,BAIXA,1582.890000000000,1582.910000000000,1582.720000000000,1582.720000000000,0.170000000000,0.190000000000,0.020000000000,0.000000000000,-0.000107398493,BAIXA,1582.720000000000,1582.850000000000,1582.650000000000,1582.850000000000,0.130000000000,0.200000000000,0.000000000000,0.070000000000,0.000082137080,ALTA,1582.850000000000,1583.030000000000,1582.790000000000,1583.000000000000,0.150000000000,0.240000000000,0.030000000000,0.060000000000,0.000094765771,ALTA,1583.000000000000,1583.110000000000,1582.920000000000,1582.920000000000,0.080000000000,0.190000000000,0.110000000000,0.000000000000,-0.000050536955,BAIXA,1582.920000000000,1583.050000000000,1582.890000000000,1582.970000000000,0.050000000000,0.160000000000,0.080000000000,0.030000000000,0.000031587193,ALTA,1582.960000000000,1583.070000000000,1582.960000000000,1583.010000000000,0.050000000000,0.110000000000,0.060000000000,0.000000000000,0.000031586395,ALTA,53.999999999996,1582.950000000000,1582.996000000000,1583.095000000000,1582.968223158301,1582.991536243937,1583.075128681837,0.000006317119,0.000183228872,-0.000063166805,0.188571428571,0.000119122070,0.000051387241,0.000081390927,1582.996000000000,1583.305606201488,1582.686393798512,0.000391164856,0.522609366241,1582.650000000000,1583.360000000000,0.000227414862,0.000221097782,0.000037902477,0.000008843911,-0.000053695176,0.000018951238,-0.000006948787,5,5,0,-0.000063166805,0.572087711480,0.275551177409,0.152361111111,0.000120025294,2,1,0.454545454545,0.545454545455,0.000000000000,0.454545454545,1583.010000000000,1582.750000000000,BAIXO,1789068300000
"USDARS_otc","2026-09-10 16:22:45","2026-09-10 16:25:00",1583.250000000000,1583.360000000000,1583.190000000000,1583.190000000000,0.060000000000,0.170000000000,0.110000000000,0.000000000000,-0.000037896731,BAIXA,1583.190000000000,1583.190000000000,1583.010000000000,1583.120000000000,0.070000000000,0.180000000000,0.000000000000,0.110000000000,-0.000044214529,BAIXA,1583.120000000000,1583.130000000000,1582.910000000000,1582.910000000000,0.210000000000,0.220000000000,0.010000000000,0.000000000000,-0.000132649452,BAIXA,1582.890000000000,1582.910000000000,1582.720000000000,1582.720000000000,0.170000000000,0.190000000000,0.020000000000,0.000000000000,-0.000107398493,BAIXA,1582.720000000000,1582.850000000000,1582.650000000000,1582.850000000000,0.130000000000,0.200000000000,0.000000000000,0.070000000000,0.000082137080,ALTA,1582.850000000000,1583.030000000000,1582.790000000000,1583.000000000000,0.150000000000,0.240000000000,0.030000000000,0.060000000000,0.000094765771,ALTA,1583.000000000000,1583.110000000000,1582.920000000000,1582.920000000000,0.080000000000,0.190000000000,0.110000000000,0.000000000000,-0.000050536955,BAIXA,1582.920000000000,1583.050000000000,1582.890000000000,1582.970000000000,0.050000000000,0.160000000000,0.080000000000,0.030000000000,0.000031587193,ALTA,1582.960000000000,1583.070000000000,1582.960000000000,1583.010000000000,0.050000000000,0.110000000000,0.060000000000,0.000000000000,0.000031586395,ALTA,1582.990000000000,1583.020000000000,1582.740000000000,1582.750000000000,0.240000000000,0.280000000000,0.030000000000,0.010000000000,-0.000151611823,BAIXA,47.647058823531,1582.930000000000,1582.944000000000,1583.070500000000,1582.895554280412,1582.947620563221,1583.044164045472,-0.000107396457,-0.000063177180,-0.000328434190,0.199285714286,0.000125911050,0.000088712012,0.000085215803,1582.944000000000,1583.225453370916,1582.662546629084,0.000355607489,0.155360318890,1582.650000000000,1583.360000000000,0.000063181172,0.000385405149,-0.000113726110,-0.000122571474,-0.000202495656,0.000031590586,-0.000045490444,4,6,0,-0.000315806095,0.591135330528,0.265432129790,0.143432539682,0.000122553307,1,-1,0.857142857143,0.107142857143,0.035714285714,0.035714285714,1582.750000000000,1582.760000000000,CIMA,1789068315000
"USDARS_otc","2026-09-10 16:23:00","2026-09-10 16:25:15",1583.190000000000,1583.190000000000,1583.010000000000,1583.120000000000,0.070000000000,0.180000000000,0.000000000000,0.110000000000,-0.000044214529,BAIXA,1583.120000000000,1583.130000000000,1582.910000000000,1582.910000000000,0.210000000000,0.220000000000,0.010000000000,0.000000000000,-0.000132649452,BAIXA,1582.890000000000,1582.910000000000,1582.720000000000,1582.720000000000,0.170000000000,0.190000000000,0.020000000000,0.000000000000,-0.000107398493,BAIXA,1582.720000000000,1582.850000000000,1582.650000000000,1582.850000000000,0.130000000000,0.200000000000,0.000000000000,0.070000000000,0.000082137080,ALTA,1582.850000000000,1583.030000000000,1582.790000000000,1583.000000000000,0.150000000000,0.240000000000,0.030000000000,0.060000000000,0.000094765771,ALTA,1583.000000000000,1583.110000000000,1582.920000000000,1582.920000000000,0.080000000000,0.190000000000,0.110000000000,0.000000000000,-0.000050536955,BAIXA,1582.920000000000,1583.050000000000,1582.890000000000,1582.970000000000,0.050000000000,0.160000000000,0.080000000000,0.030000000000,0.000031587193,ALTA,1582.960000000000,1583.070000000000,1582.960000000000,1583.010000000000,0.050000000000,0.110000000000,0.060000000000,0.000000000000,0.000031586395,ALTA,1582.990000000000,1583.020000000000,1582.740000000000,1582.750000000000,0.240000000000,0.280000000000,0.030000000000,0.010000000000,-0.000151611823,BAIXA,1582.730000000000,1582.800000000000,1582.670000000000,1582.760000000000,0.030000000000,0.130000000000,0.040000000000,0.060000000000,0.000018954591,ALTA,47.953216374271,1582.882000000000,1582.901000000000,1583.034500000000,1582.850372527562,1582.913507733545,1583.017100803046,-0.000132662021,-0.000151610865,-0.000271603535,0.198571428571,0.000125458963,0.000072951169,0.000085740998,1582.901000000000,1583.148297391818,1582.653702608182,0.000312460971,0.214918141749,1582.650000000000,1583.190000000000,0.000069498850,0.000271677323,-0.000077080543,-0.000089084890,-0.000173431221,-0.000006318077,-0.000066339811,5,5,0,-0.000271603535,0.578918135958,0.231495478206,0.189586385836,0.000120029555,1,1,0.230769230769,0.307692307692,0.461538461538,0.692307692308,1582.760000000000,1582.730000000000,BAIXO,1789068330000
"USDARS_otc","2026-09-10 16:23:15","2026-09-10 16:25:30",1583.120000000000,1583.130000000000,1582.910000000000,1582.910000000000,0.210000000000,0.220000000000,0.010000000000,0.000000000000,-0.000132649452,BAIXA,1582.890000000000,1582.910000000000,1582.720000000000,1582.720000000000,0.170000000000,0.190000000000,0.020000000000,0.000000000000,-0.000107398493,BAIXA,1582.720000000000,1582.850000000000,1582.650000000000,1582.850000000000,0.130000000000,0.200000000000,0.000000000000,0.070000000000,0.000082137080,ALTA,1582.850000000000,1583.030000000000,1582.790000000000,1583.000000000000,0.150000000000,0.240000000000,0.030000000000,0.060000000000,0.000094765771,ALTA,1583.000000000000,1583.110000000000,1582.920000000000,1582.920000000000,0.080000000000,0.190000000000,0.110000000000,0.000000000000,-0.000050536955,BAIXA,1582.920000000000,1583.050000000000,1582.890000000000,1582.970000000000,0.050000000000,0.160000000000,0.080000000000,0.030000000000,0.000031587193,ALTA,1582.960000000000,1583.070000000000,1582.960000000000,1583.010000000000,0.050000000000,0.110000000000,0.060000000000,0.000000000000,0.000031586395,ALTA,1582.990000000000,1583.020000000000,1582.740000000000,1582.750000000000,0.240000000000,0.280000000000,0.030000000000,0.010000000000,-0.000151611823,BAIXA,1582.730000000000,1582.800000000000,1582.670000000000,1582.760000000000,0.030000000000,0.130000000000,0.040000000000,0.060000000000,0.000018954591,ALTA,1582.760000000000,1582.960000000000,1582.730000000000,1582.730000000000,0.030000000000,0.230000000000,0.200000000000,0.000000000000,-0.000018954232,BAIXA,38.666666666668,1582.844000000000,1582.862000000000,1582.996500000000,1582.810266395427,1582.880142691082,1582.989757869422,-0.000176878226,-0.000120031334,-0.000246348982,0.197857142857,0.000125010041,0.000072291649,0.000085573277,1582.862000000000,1583.080137571271,1582.643862428729,0.000275624244,0.197438641059,1582.650000000000,1583.130000000000,0.000050545576,0.000252727882,-0.000072027446,-0.000083400201,-0.000168379951,-0.000066972889,-0.000084663840,5,5,0,-0.000246348982,0.553072725330,0.318451999945,0.128475274725,0.000123191683,1,-1,0.130434782609,0.869565217391,0.000000000000,0.000000000000,1582.730000000000,1582.860000000000,CIMA,1789068345000
"USDARS_otc","2026-09-10 16:23:30","2026-09-10 16:25:45",1582.890000000000,1582.910000000000,1582.720000000000,1582.720000000000,0.170000000000,0.190000000000,0.020000000000,0.000000000000,-0.000107398493,BAIXA,1582.720000000000,1582.850000000000,1582.650000000000,1582.850000000000,0.130000000000,0.200000000000,0.000000000000,0.070000000000,0.000082137080,ALTA,1582.850000000000,1583.030000000000,1582.790000000000,1583.000000000000,0.150000000000,0.240000000000,0.030000000000,0.060000000000,0.000094765771,ALTA,1583.000000000000,1583.110000000000,1582.920000000000,1582.920000000000,0.080000000000,0.190000000000,0.110000000000,0.000000000000,-0.000050536955,BAIXA,1582.920000000000,1583.050000000000,1582.890000000000,1582.970000000000,0.050000000000,0.160000000000,0.080000000000,0.030000000000,0.000031587193,ALTA,1582.960000000000,1583.070000000000,1582.960000000000,1583.010000000000,0.050000000000,0.110000000000,0.060000000000,0.000000000000,0.000031586395,ALTA,1582.990000000000,1583.020000000000,1582.740000000000,1582.750000000000,0.240000000000,0.280000000000,0.030000000000,0.010000000000,-0.000151611823,BAIXA,1582.730000000000,1582.800000000000,1582.670000000000,1582.760000000000,0.030000000000,0.130000000000,0.040000000000,0.060000000000,0.000018954591,ALTA,1582.760000000000,1582.960000000000,1582.730000000000,1582.730000000000,0.030000000000,0.230000000000,0.200000000000,0.000000000000,-0.000018954232,BAIXA,1582.760000000000,1582.920000000000,1582.760000000000,1582.860000000000,0.100000000000,0.160000000000,0.060000000000,0.000000000000,0.000063180773,ALTA,42.138364779873,1582.822000000000,1582.857000000000,1582.962000000000,1582.826814190752,1582.876480383612,1582.977399977096,0.000069499289,-0.000069489630,-0.000031587393,0.195000000000,0.000123194723,0.000082212997,0.000082672339,1582.857000000000,1583.072786931949,1582.641213068051,0.000272654993,0.506951301390,1582.650000000000,1583.110000000000,0.000132671241,0.000157941953,0.000024007177,0.000001895303,-0.000064440317,-0.000068230924,-0.000054963800,6,4,0,-0.000018952675,0.520118179875,0.351406545400,0.128475274725,0.000119403997,1,1,0.624999999999,0.375000000001,0.000000000000,0.624999999999,1582.860000000000,1582.580000000000,BAIXO,1789068360000
"USDARS_otc","2026-09-10 16:23:45","2026-09-10 16:26:00",1582.720000000000,1582.850000000000,1582.650000000000,1582.850000000000,0.130000000000,0.200000000000,0.000000000000,0.070000000000,0.000082137080,ALTA,1582.850000000000,1583.030000000000,1582.790000000000,1583.000000000000,0.150000000000,0.240000000000,0.030000000000,0.060000000000,0.000094765771,ALTA,1583.000000000000,1583.110000000000,1582.920000000000,1582.920000000000,0.080000000000,0.190000000000,0.110000000000,0.000000000000,-0.000050536955,BAIXA,1582.920000000000,1583.050000000000,1582.890000000000,1582.970000000000,0.050000000000,0.160000000000,0.080000000000,0.030000000000,0.000031587193,ALTA,1582.960000000000,1583.070000000000,1582.960000000000,1583.010000000000,0.050000000000,0.110000000000,0.060000000000,0.000000000000,0.000031586395,ALTA,1582.990000000000,1583.020000000000,1582.740000000000,1582.750000000000,0.240000000000,0.280000000000,0.030000000000,0.010000000000,-0.000151611823,BAIXA,1582.730000000000,1582.800000000000,1582.670000000000,1582.760000000000,0.030000000000,0.130000000000,0.040000000000,0.060000000000,0.000018954591,ALTA,1582.760000000000,1582.960000000000,1582.730000000000,1582.730000000000,0.030000000000,0.230000000000,0.200000000000,0.000000000000,-0.000018954232,BAIXA,1582.760000000000,1582.920000000000,1582.760000000000,1582.860000000000,0.100000000000,0.160000000000,0.060000000000,0.000000000000,0.000063180773,ALTA,1582.820000000000,1582.890000000000,1582.580000000000,1582.580000000000,0.240000000000,0.310000000000,0.070000000000,0.000000000000,-0.000151628107,BAIXA,29.824561403502,1582.736000000000,1582.843000000000,1582.918500000000,1582.744374385786,1582.822574859319,1582.939552360230,-0.000113725391,-0.000271634418,-0.000088455317,0.200000000000,0.000126375918,0.000100653902,0.000091950586,1582.843000000000,1583.105609976962,1582.580390023038,0.000331820625,-0.000742589910,1582.580000000000,1583.110000000000,0.000000000000,0.000334896182,-0.000098573216,-0.000166184332,-0.000213891241,-0.000092254420,-0.000036649016,6,4,0,-0.000088455317,0.508063850503,0.363460874772,0.128475274725,0.000126985934,1,-1,0.774193548387,0.225806451613,0.000000000000,0.000000000000,1582.580000000000,1582.580000000000,EMPATE,1789068375000
"USDARS_otc","2026-09-10 16:24:00","2026-09-10 16:26:15",1582.850000000000,1583.030000000000,1582.790000000000,1583.000000000000,0.150000000000,0.240000000000,0.030000000000,0.060000000000,0.000094765771,ALTA,1583.000000000000,1583.110000000000,1582.920000000000,1582.920000000000,0.080000000000,0.190000000000,0.110000000000,0.000000000000,-0.000050536955,BAIXA,1582.920000000000,1583.050000000000,1582.890000000000,1582.970000000000,0.050000000000,0.160000000000,0.080000000000,0.030000000000,0.000031587193,ALTA,1582.960000000000,1583.070000000000,1582.960000000000,1583.010000000000,0.050000000000,0.110000000000,0.060000000000,0.000000000000,0.000031586395,ALTA,1582.990000000000,1583.020000000000,1582.740000000000,1582.750000000000,0.240000000000,0.280000000000,0.030000000000,0.010000000000,-0.000151611823,BAIXA,1582.730000000000,1582.800000000000,1582.670000000000,1582.760000000000,0.030000000000,0.130000000000,0.040000000000,0.060000000000,0.000018954591,ALTA,1582.760000000000,1582.960000000000,1582.730000000000,1582.730000000000,0.030000000000,0.230000000000,0.200000000000,0.000000000000,-0.000018954232,BAIXA,1582.760000000000,1582.920000000000,1582.760000000000,1582.860000000000,0.100000000000,0.160000000000,0.060000000000,0.000000000000,0.000063180773,ALTA,1582.820000000000,1582.890000000000,1582.580000000000,1582.580000000000,0.240000000000,0.310000000000,0.070000000000,0.000000000000,-0.000151628107,BAIXA,1582.600000000000,1582.620000000000,1582.490000000000,1582.580000000000,0.020000000000,0.130000000000,0.020000000000,0.090000000000,-0.000012637432,BAIXA,31.288343558274,1582.702000000000,1582.816000000000,1582.903000000000,1582.689564880138,1582.778470339443,1582.905309278303,-0.000094772956,-0.000107407992,-0.000170578387,0.197142857143,0.000124570548,0.000085006724,0.000086991665,1582.816000000000,1583.122098023516,1582.509901976485,0.000386776509,0.114502574552,1582.490000000000,1583.110000000000,0.000056869163,0.000334896182,-0.000077089310,-0.000149123583,-0.000204097107,-0.000089726902,-0.000029066461,5,5,0,-0.000170578387,0.458448465888,0.378845490156,0.162706043956,0.000122563790,2,-1,0.153846153846,0.153846153846,0.692307692308,0.692307692308,1582.580000000000,1582.720000000000,CIMA,1789068390000
