ativo,inicio_janela,fim_janela,c1_open,c1_high,c1_low,c1_close,c1_corpo,c1_amplitude,c1_pavio_sup,c1_pavio_inf,c1_variacao,c1_direcao,c2_open,c2_high,c2_low,c2_close,c2_corpo,c2_amplitude,c2_pavio_sup,c2_pavio_inf,c2_variacao,c2_direcao,c3_open,c3_high,c3_low,c3_close,c3_corpo,c3_amplitude,c3_pavio_sup,c3_pavio_inf,c3_variacao,c3_direcao,c4_open,c4_high,c4_low,c4_close,c4_corpo,c4_amplitude,c4_pavio_sup,c4_pavio_inf,c4_variacao,c4_direcao,c5_open,c5_high,c5_low,c5_close,c5_corpo,c5_amplitude,c5_pavio_sup,c5_pavio_inf,c5_variacao,c5_direcao,c6_open,c6_high,c6_low,c6_close,c6_corpo,c6_amplitude,c6_pavio_sup,c6_pavio_inf,c6_variacao,c6_direcao,c7_open,c7_high,c7_low,c7_close,c7_corpo,c7_amplitude,c7_pavio_sup,c7_pavio_inf,c7_variacao,c7_direcao,c8_open,c8_high,c8_low,c8_close,c8_corpo,c8_amplitude,c8_pavio_sup,c8_pavio_inf,c8_variacao,c8_direcao,c9_open,c9_high,c9_low,c9_close,c9_corpo,c9_amplitude,c9_pavio_sup,c9_pavio_inf,c9_variacao,c9_direcao,c10_open,c10_high,c10_low,c10_close,c10_corpo,c10_amplitude,c10_pavio_sup,c10_pavio_inf,c10_variacao,c10_direcao,altas_10,baixas_10,empates_10,tendencia_10,amplitude_media_10,preco_base,preco_15s_depois,resultado_15s,timestamp_resultado
"NZDCHF_otc","2026-09-10 15:27:00","2026-09-10 15:29:15",0.480990000000,0.481090000000,0.480990000000,0.481090000000,0.000100000000,0.000100000000,0.000000000000,0.000000000000,0.000207904530,ALTA,0.481090000000,0.481110000000,0.480950000000,0.480950000000,0.000140000000,0.000160000000,0.000020000000,0.000000000000,-0.000291005841,BAIXA,0.480980000000,0.481050000000,0.480660000000,0.480660000000,0.000320000000,0.000390000000,0.000070000000,0.000000000000,-0.000665308329,BAIXA,0.480660000000,0.480660000000,0.480310000000,0.480370000000,0.000290000000,0.000350000000,0.000000000000,0.000060000000,-0.000603337078,BAIXA,0.480370000000,0.480690000000,0.480370000000,0.480690000000,0.000320000000,0.000320000000,0.000000000000,0.000000000000,0.000666153174,ALTA,0.480690000000,0.481070000000,0.480690000000,0.481070000000,0.000380000000,0.000380000000,0.000000000000,0.000000000000,0.000790530279,ALTA,0.481070000000,0.481270000000,0.481070000000,0.481270000000,0.000200000000,0.000200000000,0.000000000000,0.000000000000,0.000415739913,ALTA,0.481330000000,0.481330000000,0.481190000000,0.481230000000,0.000100000000,0.000140000000,0.000000000000,0.000040000000,-0.000207757671,BAIXA,0.481260000000,0.481330000000,0.481070000000,0.481070000000,0.000190000000,0.000260000000,0.000070000000,0.000000000000,-0.000394796991,BAIXA,0.481070000000,0.481170000000,0.481030000000,0.481030000000,0.000040000000,0.000140000000,0.000100000000,0.000000000000,-0.000083147983,BAIXA,4,6,0,0.000083161812,0.000507404316,0.481030000000,0.480790000000,BAIXO,1789064970000
"NZDCHF_otc","2026-09-10 15:27:15","2026-09-10 15:29:30",0.481090000000,0.481110000000,0.480950000000,0.480950000000,0.000140000000,0.000160000000,0.000020000000,0.000000000000,-0.000291005841,BAIXA,0.480980000000,0.481050000000,0.480660000000,0.480660000000,0.000320000000,0.000390000000,0.000070000000,0.000000000000,-0.000665308329,BAIXA,0.480660000000,0.480660000000,0.480310000000,0.480370000000,0.000290000000,0.000350000000,0.000000000000,0.000060000000,-0.000603337078,BAIXA,0.480370000000,0.480690000000,0.480370000000,0.480690000000,0.000320000000,0.000320000000,0.000000000000,0.000000000000,0.000666153174,ALTA,0.480690000000,0.481070000000,0.480690000000,0.481070000000,0.000380000000,0.000380000000,0.000000000000,0.000000000000,0.000790530279,ALTA,0.481070000000,0.481270000000,0.481070000000,0.481270000000,0.000200000000,0.000200000000,0.000000000000,0.000000000000,0.000415739913,ALTA,0.481330000000,0.481330000000,0.481190000000,0.481230000000,0.000100000000,0.000140000000,0.000000000000,0.000040000000,-0.000207757671,BAIXA,0.481260000000,0.481330000000,0.481070000000,0.481070000000,0.000190000000,0.000260000000,0.000070000000,0.000000000000,-0.000394796991,BAIXA,0.481070000000,0.481170000000,0.481030000000,0.481030000000,0.000040000000,0.000140000000,0.000100000000,0.000000000000,-0.000083147983,BAIXA,0.481010000000,0.481070000000,0.480750000000,0.480790000000,0.000220000000,0.000320000000,0.000060000000,0.000040000000,-0.000457370949,BAIXA,3,7,0,-0.000623583945,0.000553140546,0.480790000000,0.481000000000,CIMA,1789064985000
"NZDCHF_otc","2026-09-10 15:27:30","2026-09-10 15:29:45",0.480980000000,0.481050000000,0.480660000000,0.480660000000,0.000320000000,0.000390000000,0.000070000000,0.000000000000,-0.000665308329,BAIXA,0.480660000000,0.480660000000,0.480310000000,0.480370000000,0.000290000000,0.000350000000,0.000000000000,0.000060000000,-0.000603337078,BAIXA,0.480370000000,0.480690000000,0.480370000000,0.480690000000,0.000320000000,0.000320000000,0.000000000000,0.000000000000,0.000666153174,ALTA,0.480690000000,0.481070000000,0.480690000000,0.481070000000,0.000380000000,0.000380000000,0.000000000000,0.000000000000,0.000790530279,ALTA,0.481070000000,0.481270000000,0.481070000000,0.481270000000,0.000200000000,0.000200000000,0.000000000000,0.000000000000,0.000415739913,ALTA,0.481330000000,0.481330000000,0.481190000000,0.481230000000,0.000100000000,0.000140000000,0.000000000000,0.000040000000,-0.000207757671,BAIXA,0.481260000000,0.481330000000,0.481070000000,0.481070000000,0.000190000000,0.000260000000,0.000070000000,0.000000000000,-0.000394796991,BAIXA,0.481070000000,0.481170000000,0.481030000000,0.481030000000,0.000040000000,0.000140000000,0.000100000000,0.000000000000,-0.000083147983,BAIXA,0.481010000000,0.481070000000,0.480750000000,0.480790000000,0.000220000000,0.000320000000,0.000060000000,0.000040000000,-0.000457370949,BAIXA,0.480830000000,0.481000000000,0.480830000000,0.481000000000,0.000170000000,0.000170000000,0.000000000000,0.000000000000,0.000353555311,ALTA,4,6,0,0.000041581771,0.000555238267,0.481000000000,0.481070000000,CIMA,1789065000000
"NZDCHF_otc","2026-09-10 15:27:45","2026-09-10 15:30:00",0.480660000000,0.480660000000,0.480310000000,0.480370000000,0.000290000000,0.000350000000,0.000000000000,0.000060000000,-0.000603337078,BAIXA,0.480370000000,0.480690000000,0.480370000000,0.480690000000,0.000320000000,0.000320000000,0.000000000000,0.000000000000,0.000666153174,ALTA,0.480690000000,0.481070000000,0.480690000000,0.481070000000,0.000380000000,0.000380000000,0.000000000000,0.000000000000,0.000790530279,ALTA,0.481070000000,0.481270000000,0.481070000000,0.481270000000,0.000200000000,0.000200000000,0.000000000000,0.000000000000,0.000415739913,ALTA,0.481330000000,0.481330000000,0.481190000000,0.481230000000,0.000100000000,0.000140000000,0.000000000000,0.000040000000,-0.000207757671,BAIXA,0.481260000000,0.481330000000,0.481070000000,0.481070000000,0.000190000000,0.000260000000,0.000070000000,0.000000000000,-0.000394796991,BAIXA,0.481070000000,0.481170000000,0.481030000000,0.481030000000,0.000040000000,0.000140000000,0.000100000000,0.000000000000,-0.000083147983,BAIXA,0.481010000000,0.481070000000,0.480750000000,0.480790000000,0.000220000000,0.000320000000,0.000060000000,0.000040000000,-0.000457370949,BAIXA,0.480830000000,0.481000000000,0.480830000000,0.481000000000,0.000170000000,0.000170000000,0.000000000000,0.000000000000,0.000353555311,ALTA,0.480980000000,0.481170000000,0.480970000000,0.481070000000,0.000090000000,0.000200000000,0.000100000000,0.000010000000,0.000187117967,ALTA,5,5,0,0.000852993800,0.000515735585,0.481070000000,0.481040000000,BAIXO,1789065015000
"NZDCHF_otc","2026-09-10 15:28:00","2026-09-10 15:30:15",0.480370000000,0.480690000000,0.480370000000,0.480690000000,0.000320000000,0.000320000000,0.000000000000,0.000000000000,0.000666153174,ALTA,0.480690000000,0.481070000000,0.480690000000,0.481070000000,0.000380000000,0.000380000000,0.000000000000,0.000000000000,0.000790530279,ALTA,0.481070000000,0.481270000000,0.481070000000,0.481270000000,0.000200000000,0.000200000000,0.000000000000,0.000000000000,0.000415739913,ALTA,0.481330000000,0.481330000000,0.481190000000,0.481230000000,0.000100000000,0.000140000000,0.000000000000,0.000040000000,-0.000207757671,BAIXA,0.481260000000,0.481330000000,0.481070000000,0.481070000000,0.000190000000,0.000260000000,0.000070000000,0.000000000000,-0.000394796991,BAIXA,0.481070000000,0.481170000000,0.481030000000,0.481030000000,0.000040000000,0.000140000000,0.000100000000,0.000000000000,-0.000083147983,BAIXA,0.481010000000,0.481070000000,0.480750000000,0.480790000000,0.000220000000,0.000320000000,0.000060000000,0.000040000000,-0.000457370949,BAIXA,0.480830000000,0.481000000000,0.480830000000,0.481000000000,0.000170000000,0.000170000000,0.000000000000,0.000000000000,0.000353555311,ALTA,0.480980000000,0.481170000000,0.480970000000,0.481070000000,0.000090000000,0.000200000000,0.000100000000,0.000010000000,0.000187117967,ALTA,0.481070000000,0.481190000000,0.480990000000,0.481040000000,0.000030000000,0.000200000000,0.000120000000,0.000050000000,-0.000062360987,BAIXA,5,5,0,0.001394758207,0.000484493032,0.481040000000,0.481290000000,CIMA,1789065030000
"NZDCHF_otc","2026-09-10 15:28:15","2026-09-10 15:30:30",0.480690000000,0.481070000000,0.480690000000,0.481070000000,0.000380000000,0.000380000000,0.000000000000,0.000000000000,0.000790530279,ALTA,0.481070000000,0.481270000000,0.481070000000,0.481270000000,0.000200000000,0.000200000000,0.000000000000,0.000000000000,0.000415739913,ALTA,0.481330000000,0.481330000000,0.481190000000,0.481230000000,0.000100000000,0.000140000000,0.000000000000,0.000040000000,-0.000207757671,BAIXA,0.481260000000,0.481330000000,0.481070000000,0.481070000000,0.000190000000,0.000260000000,0.000070000000,0.000000000000,-0.000394796991,BAIXA,0.481070000000,0.481170000000,0.481030000000,0.481030000000,0.000040000000,0.000140000000,0.000100000000,0.000000000000,-0.000083147983,BAIXA,0.481010000000,0.481070000000,0.480750000000,0.480790000000,0.000220000000,0.000320000000,0.000060000000,0.000040000000,-0.000457370949,BAIXA,0.480830000000,0.481000000000,0.480830000000,0.481000000000,0.000170000000,0.000170000000,0.000000000000,0.000000000000,0.000353555311,ALTA,0.480980000000,0.481170000000,0.480970000000,0.481070000000,0.000090000000,0.000200000000,0.000100000000,0.000010000000,0.000187117967,ALTA,0.481070000000,0.481190000000,0.480990000000,0.481040000000,0.000030000000,0.000200000000,0.000120000000,0.000050000000,-0.000062360987,BAIXA,0.481040000000,0.481290000000,0.481030000000,0.481290000000,0.000250000000,0.000260000000,0.000000000000,0.000010000000,0.000519707301,ALTA,5,5,0,0.001248205704,0.000471927274,0.481290000000,0.481310000000,CIMA,1789065045000
"NZDCHF_otc","2026-09-10 15:28:30","2026-09-10 15:30:45",0.481070000000,0.481270000000,0.481070000000,0.481270000000,0.000200000000,0.000200000000,0.000000000000,0.000000000000,0.000415739913,ALTA,0.481330000000,0.481330000000,0.481190000000,0.481230000000,0.000100000000,0.000140000000,0.000000000000,0.000040000000,-0.000207757671,BAIXA,0.481260000000,0.481330000000,0.481070000000,0.481070000000,0.000190000000,0.000260000000,0.000070000000,0.000000000000,-0.000394796991,BAIXA,0.481070000000,0.481170000000,0.481030000000,0.481030000000,0.000040000000,0.000140000000,0.000100000000,0.000000000000,-0.000083147983,BAIXA,0.481010000000,0.481070000000,0.480750000000,0.480790000000,0.000220000000,0.000320000000,0.000060000000,0.000040000000,-0.000457370949,BAIXA,0.480830000000,0.481000000000,0.480830000000,0.481000000000,0.000170000000,0.000170000000,0.000000000000,0.000000000000,0.000353555311,ALTA,0.480980000000,0.481170000000,0.480970000000,0.481070000000,0.000090000000,0.000200000000,0.000100000000,0.000010000000,0.000187117967,ALTA,0.481070000000,0.481190000000,0.480990000000,0.481040000000,0.000030000000,0.000200000000,0.000120000000,0.000050000000,-0.000062360987,BAIXA,0.481040000000,0.481290000000,0.481030000000,0.481290000000,0.000250000000,0.000260000000,0.000000000000,0.000010000000,0.000519707301,ALTA,0.481280000000,0.481450000000,0.481220000000,0.481310000000,0.000030000000,0.000230000000,0.000140000000,0.000060000000,0.000062333777,ALTA,5,5,0,0.000498887896,0.000440663475,0.481310000000,0.481550000000,CIMA,1789065060000
"USDARS_otc","2026-09-10 15:31:15","2026-09-10 15:33:30",1583.960000000000,1583.960000000000,1583.740000000000,1583.740000000000,0.220000000000,0.220000000000,0.000000000000,0.000000000000,-0.000138892396,BAIXA,1583.740000000000,1583.820000000000,1583.620000000000,1583.620000000000,0.120000000000,0.200000000000,0.080000000000,0.000000000000,-0.000075770013,BAIXA,1583.570000000000,1583.900000000000,1583.500000000000,1583.790000000000,0.220000000000,0.400000000000,0.110000000000,0.070000000000,0.000138926603,ALTA,1583.790000000000,1583.900000000000,1583.780000000000,1583.850000000000,0.060000000000,0.120000000000,0.050000000000,0.010000000000,0.000037883810,ALTA,1583.850000000000,1583.860000000000,1583.680000000000,1583.780000000000,0.070000000000,0.180000000000,0.010000000000,0.100000000000,-0.000044196104,BAIXA,1583.920000000000,1584.030000000000,1583.920000000000,1584.010000000000,0.090000000000,0.110000000000,0.020000000000,0.000000000000,0.000056821052,ALTA,1584.010000000000,1584.130000000000,1584.010000000000,1584.020000000000,0.010000000000,0.120000000000,0.110000000000,0.000000000000,0.000006313091,ALTA,1584.020000000000,1584.130000000000,1583.850000000000,1583.850000000000,0.170000000000,0.280000000000,0.110000000000,0.000000000000,-0.000107321877,BAIXA,1583.880000000000,1584.230000000000,1583.880000000000,1583.930000000000,0.050000000000,0.350000000000,0.300000000000,0.000000000000,0.000031568048,ALTA,1583.930000000000,1584.090000000000,1583.870000000000,1583.870000000000,0.060000000000,0.220000000000,0.160000000000,0.000000000000,-0.000037880462,BAIXA,5,5,0,-0.000056819617,0.000138902618,1583.870000000000,1583.840000000000,BAIXO,1789065225000
"USDARS_otc","2026-09-10 15:31:30","2026-09-10 15:33:45",1583.740000000000,1583.820000000000,1583.620000000000,1583.620000000000,0.120000000000,0.200000000000,0.080000000000,0.000000000000,-0.000075770013,BAIXA,1583.570000000000,1583.900000000000,1583.500000000000,1583.790000000000,0.220000000000,0.400000000000,0.110000000000,0.070000000000,0.000138926603,ALTA,1583.790000000000,1583.900000000000,1583.780000000000,1583.850000000000,0.060000000000,0.120000000000,0.050000000000,0.010000000000,0.000037883810,ALTA,1583.850000000000,1583.860000000000,1583.680000000000,1583.780000000000,0.070000000000,0.180000000000,0.010000000000,0.100000000000,-0.000044196104,BAIXA,1583.920000000000,1584.030000000000,1583.920000000000,1584.010000000000,0.090000000000,0.110000000000,0.020000000000,0.000000000000,0.000056821052,ALTA,1584.010000000000,1584.130000000000,1584.010000000000,1584.020000000000,0.010000000000,0.120000000000,0.110000000000,0.000000000000,0.000006313091,ALTA,1584.020000000000,1584.130000000000,1583.850000000000,1583.850000000000,0.170000000000,0.280000000000,0.110000000000,0.000000000000,-0.000107321877,BAIXA,1583.880000000000,1584.230000000000,1583.880000000000,1583.930000000000,0.050000000000,0.350000000000,0.300000000000,0.000000000000,0.000031568048,ALTA,1583.930000000000,1584.090000000000,1583.870000000000,1583.870000000000,0.060000000000,0.220000000000,0.160000000000,0.000000000000,-0.000037880462,BAIXA,1583.910000000000,1583.910000000000,1583.680000000000,1583.840000000000,0.070000000000,0.230000000000,0.000000000000,0.160000000000,-0.000044194430,BAIXA,5,5,0,0.000063141677,0.000139534405,1583.840000000000,1584.000000000000,CIMA,1789065240000
"USDARS_otc","2026-09-10 15:31:45","2026-09-10 15:34:00",1583.570000000000,1583.900000000000,1583.500000000000,1583.790000000000,0.220000000000,0.400000000000,0.110000000000,0.070000000000,0.000138926603,ALTA,1583.790000000000,1583.900000000000,1583.780000000000,1583.850000000000,0.060000000000,0.120000000000,0.050000000000,0.010000000000,0.000037883810,ALTA,1583.850000000000,1583.860000000000,1583.680000000000,1583.780000000000,0.070000000000,0.180000000000,0.010000000000,0.100000000000,-0.000044196104,BAIXA,1583.920000000000,1584.030000000000,1583.920000000000,1584.010000000000,0.090000000000,0.110000000000,0.020000000000,0.000000000000,0.000056821052,ALTA,1584.010000000000,1584.130000000000,1584.010000000000,1584.020000000000,0.010000000000,0.120000000000,0.110000000000,0.000000000000,0.000006313091,ALTA,1584.020000000000,1584.130000000000,1583.850000000000,1583.850000000000,0.170000000000,0.280000000000,0.110000000000,0.000000000000,-0.000107321877,BAIXA,1583.880000000000,1584.230000000000,1583.880000000000,1583.930000000000,0.050000000000,0.350000000000,0.300000000000,0.000000000000,0.000031568048,ALTA,1583.930000000000,1584.090000000000,1583.870000000000,1583.870000000000,0.060000000000,0.220000000000,0.160000000000,0.000000000000,-0.000037880462,BAIXA,1583.910000000000,1583.910000000000,1583.680000000000,1583.840000000000,0.070000000000,0.230000000000,0.000000000000,0.160000000000,-0.000044194430,BAIXA,1583.820000000000,1584.160000000000,1583.820000000000,1584.000000000000,0.180000000000,0.340000000000,0.160000000000,0.000000000000,0.000113649278,ALTA,6,4,0,0.000271538360,0.000148373156,1584.000000000000,1584.020000000000,CIMA,1789065255000
